ProjectUnit = BSAGE1D06
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr01-Attr,00Yr01-Diff,00Yr01-%Diff,00Yr02-Attr,00Yr02-Diff,00Yr02-%Diff,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr09-Attr,00Yr09-Diff,00Yr09-%Diff,00Yr12-Attr,00Yr12-Diff,00Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,Thin01Yr02-Attr,Thin01Yr02-Diff,Thin01Yr02-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,00Yr20-Attr,00Yr20-Diff,00Yr20-%Diff
T:BSAGE1D06:87,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.61,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:88,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.03,2.42,400.00,2.42,1.82,300.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:89,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.61,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:93,***,0.61,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:94,***,0.00,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:91,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:92,***,***,***,***,***,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:56,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.21,***,***
C:BSAGE1D06:57,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***
B:BSAGE1D06:68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,1.21,***,***,2.42,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***
B:BSAGE1D06:52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***
B:BSAGE1D06:55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***
Mean,0.98,0.30,0.67,68.95,0.91,0.07,7.03,1.73,-0.75,-77.04,3.94,-2.96,-302.68,0.00,0.98,100.00,0.73,0.25,25.55,1.10,-0.12,-12.08,0.17,0.80,82.31,0.10,0.88,89.68,1.21,-0.23,-23.81,0.00,0.98,100.00,0.00,0.98,100.00,0.61,0.37,38.10
