ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
MG2 Plot 14,26.45,27.45,1.00,3.77,0.00,-26.45,-100.00,0.00,-26.45,-100.00,2.00,-24.46,-92.45,3.99,-22.46,-84.91,3.49,-22.96,-86.79,***,***,***,***,***,***,6.49,-19.97,-75.47,8.49,-17.97,-67.92,15.97,-10.48,-39.62,***,***,***,***,***,***,***,***,***,0.00,-26.45,-100.00
MG2 Plot 15,7.49,10.98,3.49,46.67,0.00,-7.49,-100.00,2.00,-5.49,-73.33,0.00,-7.49,-100.00,2.99,-4.49,-60.00,2.00,-5.49,-73.33,***,***,***,***,***,***,2.99,-4.49,-60.00,0.00,-7.49,-100.00,1.50,-5.99,-80.00,***,***,***,***,***,***,***,***,***,0.00,-7.49,-100.00
MG2 Plot 16,18.47,7.99,-10.48,-56.76,0.00,-18.47,-100.00,0.00,-18.47,-100.00,0.00,-18.47,-100.00,0.00,-18.47,-100.00,0.00,-18.47,-100.00,***,***,***,***,***,***,6.49,-11.98,-64.86,3.99,-14.47,-78.38,3.99,-14.47,-78.38,***,***,***,***,***,***,***,***,***,0.00,-18.47,-100.00
MG2 Plot 17,17.97,4.49,-13.48,-75.00,0.00,-17.97,-100.00,0.00,-17.97,-100.00,0.00,-17.97,-100.00,0.50,-17.47,-97.22,8.49,-9.48,-52.78,***,***,***,***,***,***,0.00,-17.97,-100.00,0.50,-17.47,-97.22,0.00,-17.97,-100.00,***,***,***,***,***,***,***,***,***,0.00,-17.97,-100.00
MG2 Plot 18,69.88,39.93,-29.95,-42.86,0.00,-69.88,-100.00,0.00,-69.88,-100.00,0.50,-69.38,-99.29,1.50,-68.38,-97.86,1.50,-68.38,-97.86,***,***,***,***,***,***,0.00,-69.88,-100.00,3.49,-66.38,-95.00,1.00,-68.88,-98.57,***,***,***,***,***,***,***,***,***,0.00,-69.88,-100.00
MG2 Plot 19,17.47,7.49,-9.98,-57.14,0.00,-17.47,-100.00,0.00,-17.47,-100.00,0.00,-17.47,-100.00,0.00,-17.47,-100.00,2.00,-15.47,-88.57,***,***,***,***,***,***,8.49,-8.98,-51.43,5.99,-11.48,-65.71,2.99,-14.47,-82.86,***,***,***,***,***,***,***,***,***,0.00,-17.47,-100.00
MG2 Plot 2,45.92,14.47,-31.44,-68.48,45.92,0.00,0.00,19.47,-26.45,-57.61,47.92,2.00,4.35,33.94,-11.98,-26.09,45.42,-0.50,-1.09,***,***,***,***,***,***,0.00,-45.92,-100.00,8.98,-36.94,-80.43,1.50,-44.42,-96.74,***,***,***,***,***,***,***,***,***,0.00,-45.92,-100.00
MG2 Plot 20,44.42,***,***,***,0.00,-44.42,-100.00,0.00,-44.42,-100.00,0.50,-43.92,-98.88,0.00,-44.42,-100.00,1.00,-43.42,-97.75,***,***,***,***,***,***,0.00,-44.42,-100.00,0.00,-44.42,-100.00,3.49,-40.93,-92.13,***,***,***,***,***,***,***,***,***,0.00,-44.42,-100.00
MG2 Plot 3,37.43,9.98,-27.45,-73.33,0.00,-37.43,-100.00,0.50,-36.94,-98.67,0.00,-37.43,-100.00,0.00,-37.43,-100.00,1.50,-35.94,-96.00,***,***,***,***,***,***,0.00,-37.43,-100.00,0.50,-36.94,-98.67,2.50,-34.94,-93.33,***,***,***,***,***,***,***,***,***,0.00,-37.43,-100.00
MG2 Plot 4,38.93,19.97,-18.97,-48.72,0.00,-38.93,-100.00,0.50,-38.43,-98.72,5.99,-32.94,-84.62,2.99,-35.94,-92.31,0.50,-38.43,-98.72,***,***,***,***,***,***,22.46,-16.47,-42.31,6.49,-32.44,-83.33,9.48,-29.45,-75.64,***,***,***,***,***,***,***,***,***,0.00,-38.93,-100.00
MG2 Plot 5,57.90,62.39,4.49,7.76,0.00,-57.90,-100.00,0.00,-57.90,-100.00,0.00,-57.90,-100.00,3.99,-53.91,-93.10,2.00,-55.90,-96.55,***,***,***,***,***,***,37.43,-20.46,-35.34,4.99,-52.91,-91.38,19.97,-37.93,-65.52,***,***,***,***,***,***,***,***,***,0.00,-57.90,-100.00
MG2 Plot 6,16.97,6.99,-9.98,-58.82,0.00,-16.97,-100.00,0.50,-16.47,-97.06,0.00,-16.97,-100.00,0.00,-16.97,-100.00,1.00,-15.97,-94.12,***,***,***,***,***,***,7.49,-9.48,-55.88,6.99,-9.98,-58.82,3.49,-13.48,-79.41,***,***,***,***,***,***,***,***,***,0.00,-16.97,-100.00
MG2 Plot 7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.49,4.49,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 8,47.42,17.97,-29.45,-62.11,0.00,-47.42,-100.00,0.00,-47.42,-100.00,0.50,-46.92,-98.95,1.00,-46.42,-97.89,1.00,-46.42,-97.89,***,***,***,***,***,***,3.49,-43.92,-92.63,0.00,-47.42,-100.00,5.49,-41.93,-88.42,***,***,***,***,***,***,***,***,***,0.00,-47.42,-100.00
MG2 Plot 9,24.46,3.99,-20.46,-83.67,0.00,-24.46,-100.00,0.00,-24.46,-100.00,0.00,-24.46,-100.00,0.00,-24.46,-100.00,0.50,-23.96,-97.96,***,***,***,***,***,***,4.49,-19.97,-81.63,2.99,-21.46,-87.76,3.99,-20.46,-83.67,***,***,***,***,***,***,***,***,***,0.00,-24.46,-100.00
MG4 Plot 1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.49,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.00,***,***,0.00,***,***,0.00,***,***,0.50,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.99,***,***,1.50,***,***,0.50,***,***,1.00,***,***,2.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.49,***,***,0.00,***,***,0.00,***,***,0.00,***,***,9.48,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.99,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.99,***,***,1.00,***,***,1.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
ASPEN VALLEY,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.89,***,***,***,***,***,7.31,***,***,***,***,***
Mean,26.95,22.22,4.73,17.55,1.97,24.98,92.68,2.15,24.80,92.01,3.20,23.75,88.12,3.67,23.28,86.39,4.94,22.01,81.67,3.83,23.13,85.80,13.08,13.87,51.47,5.15,21.80,80.88,4.89,22.07,81.88,7.22,19.73,73.21,7.76,19.19,71.21,0.50,26.45,98.15,7.31,19.64,72.87,0.00,26.95,100.00
